"status","key","sheetRowId","dbRowId","country","routeFrom","routeTo","vehicleType","pax","sheetPrice","dbPrice","sheetCurrency","dbCurrency"
"price_set_mismatch","denmark	aarhus airport aar	aarhus	standard class car","188","cmm3d3nz50056k8ppyu2485da","Denmark","Aarhus airport (AAR)","Aarhus","Standard class car","3","93.00 EUR","120.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	european side central levent besiktas maslak taksim ortakoy	istanbul sabiha gokcen airport saw	standard minivan 6 pax","4182","cmoto8ki8001b9ca0lv5k13lo","Turkey","European Side Central (Levent, Besiktas, Maslak, Taksim, Ortakoy)","Istanbul Sabiha Gokcen Airport (SAW)","Standard minivan 6 pax","6","80.00 EUR","80.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	gebze dilovasi	istanbul airport ist	standard minibus 13pax","4183","cmoto8kie001d9ca0prkalr7h","Turkey","Gebze - Dilovasi","Istanbul Airport (IST)","Standard Minibus 13pax","13","100.00 EUR","100.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	gebze dilovasi	istanbul airport ist	standard minivan 6 pax","4184","cmoto8kik001f9ca0u993xeox","Turkey","Gebze - Dilovasi","Istanbul Airport (IST)","Standard minivan 6 pax","6","83.00 EUR","83.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	gebze dilovasi	istanbul sabiha gokcen airport saw	standard minibus 13pax","4185","cmoto8kiq001h9ca0rvo2yukc","Turkey","Gebze - Dilovasi","Istanbul Sabiha Gokcen Airport (SAW)","Standard Minibus 13pax","13","75.00 EUR","75.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	gebze dilovasi	istanbul sabiha gokcen airport saw	standard minivan 6 pax","4186","cmoto8kiw001j9ca0i20ir7qt","Turkey","Gebze - Dilovasi","Istanbul Sabiha Gokcen Airport (SAW)","Standard minivan 6 pax","6","64.00 EUR","64.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	ikitelli bakirkoy bahcelievler beylikduzu	istanbul airport ist	standard minibus 13pax","4187","cmoto8kj3001l9ca0l3o102oa","Turkey","Ikitelli, Bakirkoy, Bahcelievler, Beylikduzu","Istanbul Airport (IST)","Standard Minibus 13pax","13","83.00 EUR","83.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	ikitelli bakirkoy bahcelievler beylikduzu	istanbul airport ist	standard minivan 6 pax","4188","cmoto8kjb001n9ca0zuki0szt","Turkey","Ikitelli, Bakirkoy, Bahcelievler, Beylikduzu","Istanbul Airport (IST)","Standard minivan 6 pax","6","64.00 EUR","64.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	ikitelli bakirkoy bahcelievler beylikduzu	istanbul sabiha gokcen airport saw	standard minibus 13pax","4189","cmoto8kji001p9ca0tw2mh8js","Turkey","Ikitelli, Bakirkoy, Bahcelievler, Beylikduzu","Istanbul Sabiha Gokcen Airport (SAW)","Standard Minibus 13pax","13","116.00 EUR","116.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	ikitelli bakirkoy bahcelievler beylikduzu	istanbul sabiha gokcen airport saw	standard minivan 6 pax","4190","cmoto8kjq001r9ca0td72ku5v","Turkey","Ikitelli, Bakirkoy, Bahcelievler, Beylikduzu","Istanbul Sabiha Gokcen Airport (SAW)","Standard minivan 6 pax","6","88.00 EUR","88.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	istanbul	bursa daily trip	standard minibus 13pax","4191","cmoto8kjv001t9ca05qoz9vpc","Turkey","Istanbul","Bursa daily trip","Standard Minibus 13pax","13","613.00 EUR","613.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	istanbul	bursa daily trip	standard minivan 6 pax","4192","cmoto8kk1001v9ca0g50lx087","Turkey","Istanbul","Bursa daily trip","Standard minivan 6 pax","6","444.00 EUR","444.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	istanbul	disposal up to 8 hours 100 km within istanbul	standard minibus 13pax","4193","cmoto8kk7001x9ca02u7asfr6","Turkey","Istanbul","Disposal up to 8 hours / 100 km within Istanbul","Standard Minibus 13pax","13","326.00 EUR","326.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	istanbul	disposal up to 8 hours 100 km within istanbul	standard minivan 6 pax","4194","cmoto8kkd001z9ca02x1dfkmq","Turkey","Istanbul","Disposal up to 8 hours / 100 km within Istanbul","Standard minivan 6 pax","6","270.00 EUR","270.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	istanbul	full day disposal up to 12 hours 120 km classic istanbul tour	standard minibus 13pax","4195","cmoto8kkj00219ca0eb4atdpz","Turkey","Istanbul","Full day disposal up to 12 hours / 120 km classic Istanbul tour","Standard Minibus 13pax","13","384.00 EUR","384.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	istanbul	full day disposal up to 12 hours 120 km classic istanbul tour	standard minivan 6 pax","4196","cmoto8kko00239ca0dt7mshnc","Turkey","Istanbul","Full day disposal up to 12 hours / 120 km classic Istanbul tour","Standard minivan 6 pax","6","286.00 EUR","286.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	istanbul airport ist	asian side central kavacik atasehir umraniye kadikoy uskudar	standard minibus 13pax","4197","cmoto8kkv00259ca0umy1h50j","Turkey","Istanbul Airport (IST)","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar)","Standard Minibus 13pax","13","91.00 EUR","91.00 EUR","EUR","EUR"
"pax_metadata_mismatch","turkey	istanbul airport ist	asian side central kavacik atasehir umraniye kadikoy uskudar	standard minivan 6 pax","4198","cmoto8kl100279ca0oppryqfv","Turkey","Istanbul Airport (IST)","Asian Side Central (Kavacik, Atasehir, Umraniye, Kadikoy, Uskudar)","Standard minivan 6 pax","6","72.00 EUR","72.00 EUR","EUR","EUR"
