"name","count","countries","cities","roles","samples"
"Santa Barbara+Carpinteria","14","United States of America","Santa Barbara+Carpinteria","to","John Wayne Airport (SNA) -> Santa Barbara+Carpinteria || John Wayne Airport (SNA) -> Santa Barbara+Carpinteria || John Wayne Airport (SNA) -> Santa Barbara+Carpinteria"
"Santa Clarita","14","United States of America","Santa Clarita","to","John Wayne Airport (SNA) -> Santa Clarita || John Wayne Airport (SNA) -> Santa Clarita || John Wayne Airport (SNA) -> Santa Clarita"
"Santa Monica","24","United States of America","Los Angeles|Santa Monica","to","Los Angeles Airport (LAX) -> Santa Monica || Los Angeles Airport (LAX) -> Santa Monica || Los Angeles Airport (LAX) -> Santa Monica"
"Santa Monica Airport (SMO)","5","United States of America","Los Angeles Downtown","from","Santa Monica Airport (SMO) -> Los Angeles Downtown || Santa Monica Airport (SMO) -> Los Angeles Downtown || Santa Monica Airport (SMO) -> Los Angeles Downtown"
"Saransk","4","Russia","Saransk","to","Saransk Airport (SKX) -> Saransk || Saransk Airport (SKX) -> Saransk || Saransk Airport (SKX) -> Saransk"
"Saransk Airport (SKX)","4","Russia","Saransk","from","Saransk Airport (SKX) -> Saransk || Saransk Airport (SKX) -> Saransk || Saransk Airport (SKX) -> Saransk"
"Saratov","6","Russia","Saratov","to","Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov"
"Saratov Tsentralny Airport (RTW)","6","Russia","Saratov","from","Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov || Saratov Tsentralny Airport (RTW) -> Saratov"
"Sathorn district, Bangkok","6","Thailand","Sathorn district, Bangkok","to","Bangkok Don Muang Airport (DMK) -> Sathorn district, Bangkok || Bangkok Don Muang Airport (DMK) -> Sathorn district, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Sathorn district, Bangkok"
"Sattahip District","4","Thailand","Sattahip District","to","Bangkok Suvarnabhumi Airport (BKK) -> Sattahip District || Bangkok Suvarnabhumi Airport (BKK) -> Sattahip District || Bangkok Suvarnabhumi Airport (BKK) -> Sattahip District"
"Satun","2","Thailand","Satun","to","Phuket International Airport (HKT) -> Satun || Phuket International Airport (HKT) -> Satun"
"Savonlinna","3","Finland","Savonlinna","to","Helsinki Vantaa airport (HEL) -> Savonlinna || Helsinki Vantaa airport (HEL) -> Savonlinna || Helsinki Vantaa airport (HEL) -> Savonlinna"
"Seinäjoki","3","Finland","Seinäjoki","to","Helsinki Vantaa airport (HEL) -> Seinäjoki || Helsinki Vantaa airport (HEL) -> Seinäjoki || Helsinki Vantaa airport (HEL) -> Seinäjoki"
"Selimiye (Marmaris)","3","Turkey","Selimiye (Marmaris)","to","Dalaman Airport (DLM) -> Selimiye (Marmaris) || Dalaman Airport (DLM) -> Selimiye (Marmaris) || Dalaman Airport (DLM) -> Selimiye (Marmaris)"
"Seogwipo City Center","1","South Korea","Seogwipo City Center","to","Jeju Airport (CJU) -> Seogwipo City Center"
"Seoul city","9","South Korea","Seoul city","to","Seoul Gimpo Airport (GMP) -> Seoul city || Seoul Gimpo Airport (GMP) -> Seoul city || Seoul Gimpo Airport (GMP) -> Seoul city"
"Seoul Gimpo Airport (GMP)","104","South Korea","Ansan|Dongducheon|Gimpo|Goyang|Gunpo|Guri|Gwacheon|Gwangmyeong|Hanam|Incheon|Namyangju|Osan|Paju|Pyungtaek|Seoul Gimpo Airport (GMP)|Seoul Incheon Airport (ICN)|Seoul city|Siheung|Suwon|Uijeongbu|Yangju","from|to","Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan"
"Seoul Incheon Airport (ICN)","104","South Korea","Ansan|Dongducheon|Gimpo|Goyang|Gunpo|Guri|Gwacheon|Gwangmyeong|Hanam|Incheon|Namyangju|Osan|Paju|Pyungtaek|Seoul Gimpo Airport (GMP)|Seoul Incheon Airport (ICN)|Seoul city|Siheung|Suwon|Uijeongbu|Yangju","from|to","Seoul Incheon Airport (ICN) -> Ansan || Seoul Incheon Airport (ICN) -> Ansan || Seoul Incheon Airport (ICN) -> Ansan"
"Sevastopol'","5","Russia","Sevastopol'","to","Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol'"
"Seville","5","Spain","Seville","to","Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville"
"Seville Airport (SVQ)","5","Spain","Seville","from","Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville || Seville Airport (SVQ) -> Seville"
"Seychelles","1","Seychelles","Seychelles","to","Seychelles International Airport (SEZ) -> Seychelles"
"Seychelles International Airport (SEZ)","1","Seychelles","Seychelles","from","Seychelles International Airport (SEZ) -> Seychelles"
"Shahdag (Quba, Qusar)","3","Azerbaijan","Shahdag (Quba, Qusar)","to","Baku Heydar Aliyev International Airport (GYD) -> Shahdag (Quba, Qusar) || Baku Heydar Aliyev International Airport (GYD) -> Shahdag (Quba, Qusar) || Baku Heydar Aliyev International Airport (GYD) -> Shahdag (Quba, Qusar)"
"Shanghai city center","10","China","Shanghai city center","to","Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center"
"Shanghai Hongqiao International Airport (SHA)","4","China","Shanghai city center","from","Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center || Shanghai Hongqiao International Airport (SHA) -> Shanghai city center"
"Shanghai Pudong International Airport (PVG)","6","China","Shanghai city center","from","Shanghai Pudong International Airport (PVG) -> Shanghai city center || Shanghai Pudong International Airport (PVG) -> Shanghai city center || Shanghai Pudong International Airport (PVG) -> Shanghai city center"
"Sharjah","14","United Arab Emirates","Sharjah","to","Abu Dhabi International Airport (AUH) -> Sharjah || Abu Dhabi International Airport (AUH) -> Sharjah || Abu Dhabi International Airport (AUH) -> Sharjah"
"Sharjah Airport (SHJ)","54","United Arab Emirates","Abu Dhabi|Ajman|Al Barsha, Dubai|Al Marjan Island|Bur Dubai Area|Deira Dubai|Downtown Dubai|Dubai Al Maktoum Airport (DWC)|Dubai Marina|Dubai international Airport (DXB)|Fujairah|Kalba / Qalba|Khor Fakkan|Mina Jebel Ali, Dubai|Palm Jumeirah|Ras Al Khaimah|Sharjah|Umm Al Quwain","from","Sharjah Airport (SHJ) -> Abu Dhabi || Sharjah Airport (SHJ) -> Abu Dhabi || Sharjah Airport (SHJ) -> Abu Dhabi"
"Sharm El Sheikh","4","Egypt","Sharm El Sheikh","to","Cairo International Airport (CAI) -> Sharm El Sheikh || Cairo International Airport (CAI) -> Sharm El Sheikh || Sharm el-Sheikh International Airport (SSH) -> Sharm El Sheikh"
"Sharm el-Sheikh International Airport (SSH)","13","Egypt","Dahab|FUN&SUN FAMILY Albatros Palace|Grand Rotana Resort|Nabq Bay|Saint Catherine|Sharm El Sheikh|Taba","from","Sharm el-Sheikh International Airport (SSH) -> Dahab || Sharm el-Sheikh International Airport (SSH) -> Dahab || Sharm el-Sheikh International Airport (SSH) -> FUN&SUN FAMILY Albatros Palace"
"Sheikh Hussein Bridge","6","Jordan","Sheikh Hussein Bridge","to","Amman Civil Airport (Marka) (ADJ) -> Sheikh Hussein Bridge || Amman Civil Airport (Marka) (ADJ) -> Sheikh Hussein Bridge || Amman Civil Airport (Marka) (ADJ) -> Sheikh Hussein Bridge"
"Shekvetili","1","Georgia","Shekvetili","to","Alexander Kartveli Batumi Airport (BUS) -> Shekvetili"
"Shenzhen Bao'an International Airport (SZX)","4","China","Shenzhen city center","from","Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center"
"Shenzhen city center","4","China","Shenzhen city center","to","Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center || Shenzhen Bao'an International Airport (SZX) -> Shenzhen city center"
"Sheraton Moscow Sheremetyevo Airport","1","Russia","Sheraton Moscow Sheremetyevo Airport","to","Moscow Sheremetyevo International Airport (SVO) -> Sheraton Moscow Sheremetyevo Airport"
"Si Sunthon, Phuket","2","Thailand","Si Sunthon, Phuket","to","Phuket International Airport (HKT) -> Si Sunthon, Phuket || Phuket International Airport (HKT) -> Si Sunthon, Phuket"
"Side district","4","Turkey","Side district","to","Antalya Airport (AYT) -> Side district || Antalya Airport (AYT) -> Side district || Antalya Airport (AYT) -> Side district"
"Siggerud","1","Norway","Siggerud","to","Oslo Gardermoen Airport (OSL) -> Siggerud"
"Signagi","1","Georgia","Signagi","to","Tbilisi Shota Rustaveli Airport (TBS) -> Signagi"
"Sigtuna town","2","Sweden","Sigtuna town","to","Stockholm Arlanda Airport (ARN) -> Sigtuna town || Stockholm Arlanda Airport (ARN) -> Sigtuna town"
"Siheung","10","South Korea","Siheung","to","Seoul Gimpo Airport (GMP) -> Siheung || Seoul Gimpo Airport (GMP) -> Siheung || Seoul Gimpo Airport (GMP) -> Siheung"
"Sikao, Sikao District, Trang","2","Thailand","Sikao, Sikao District, Trang","to","Phuket International Airport (HKT) -> Sikao, Sikao District, Trang || Phuket International Airport (HKT) -> Sikao, Sikao District, Trang"
"Silicon Oasis / International City Dubai","7","United Arab Emirates","Silicon Oasis / International City Dubai","to","Dubai international Airport (DXB) -> Silicon Oasis / International City Dubai || Dubai international Airport (DXB) -> Silicon Oasis / International City Dubai || Dubai international Airport (DXB) -> Silicon Oasis / International City Dubai"
"Silkeborg","1","Denmark","Aarhus","to","Billund Airport (BLL) -> Silkeborg"
"Silom, Bangkok","4","Thailand","Silom, Bangkok","to","Bangkok Don Muang Airport (DMK) -> Silom, Bangkok || Bangkok Don Muang Airport (DMK) -> Silom, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Silom, Bangkok"
"Simferopol'","6","Russia","Simferopol'","to","Simferopol' Airport (SIP) -> Simferopol' || Simferopol' Airport (SIP) -> Simferopol' || Simferopol' Airport (SIP) -> Simferopol'"
"Simferopol' Airport (SIP)","11","Russia","Sevastopol'|Simferopol'","from","Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol' || Simferopol' Airport (SIP) -> Sevastopol'"
"Sinettä","2","Finland","Sinettä","to","Rovaniemi Airport (RVN) -> Sinettä || Rovaniemi Airport (RVN) -> Sinettä"
"Singapore Changi Airport (SIN)","18","Singapore","Singapore Cruise Terminal|Singapore East|Singapore North|Singapore Sentosa Island|Singapore West|Singapore city center","from","Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal"
"Singapore city center","3","Singapore","Singapore city center","to","Singapore Changi Airport (SIN) -> Singapore city center || Singapore Changi Airport (SIN) -> Singapore city center || Singapore Changi Airport (SIN) -> Singapore city center"
"Singapore Cruise Terminal","3","Singapore","Singapore Cruise Terminal","to","Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal"
"Singapore East","3","Singapore","Singapore East","to","Singapore Changi Airport (SIN) -> Singapore East || Singapore Changi Airport (SIN) -> Singapore East || Singapore Changi Airport (SIN) -> Singapore East"
"Singapore North","3","Singapore","Singapore North","to","Singapore Changi Airport (SIN) -> Singapore North || Singapore Changi Airport (SIN) -> Singapore North || Singapore Changi Airport (SIN) -> Singapore North"
"Singapore Sentosa Island","3","Singapore","Singapore Sentosa Island","to","Singapore Changi Airport (SIN) -> Singapore Sentosa Island || Singapore Changi Airport (SIN) -> Singapore Sentosa Island || Singapore Changi Airport (SIN) -> Singapore Sentosa Island"
"Singapore West","3","Singapore","Singapore West","to","Singapore Changi Airport (SIN) -> Singapore West || Singapore Changi Airport (SIN) -> Singapore West || Singapore Changi Airport (SIN) -> Singapore West"
"Skarpnäck district, Stockholm","2","Sweden","Skarpnäck district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Skarpnäck district, Stockholm || Stockholm Arlanda Airport (ARN) -> Skarpnäck district, Stockholm"
"Skellefteå","2","Sweden","Skellefteå","to","Luleå Airport (LLA) -> Skellefteå || Skellefteå Airport (SFT) -> Skellefteå"
"Skellefteå Airport (SFT)","1","Sweden","Skellefteå","from","Skellefteå Airport (SFT) -> Skellefteå"
"Ski, Norway","1","Norway","Ski, Norway","to","Oslo Gardermoen Airport (OSL) -> Ski, Norway"
"Skjetten","1","Norway","Skjetten","to","Oslo Gardermoen Airport (OSL) -> Skjetten"
"Skogås locality","2","Sweden","Skogås locality","to","Stockholm Arlanda Airport (ARN) -> Skogås locality || Stockholm Arlanda Airport (ARN) -> Skogås locality"
"Södertälje city","2","Sweden","Södertälje city","to","Stockholm Arlanda Airport (ARN) -> Södertälje city || Stockholm Arlanda Airport (ARN) -> Södertälje city"
"Sofiemyr","1","Norway","Sofiemyr","to","Oslo Gardermoen Airport (OSL) -> Sofiemyr"
"Sollentuna municipality","2","Sweden","Sollentuna municipality","to","Stockholm Arlanda Airport (ARN) -> Sollentuna municipality || Stockholm Arlanda Airport (ARN) -> Sollentuna municipality"
"Solna municipality","2","Sweden","Solna municipality","to","Stockholm Arlanda Airport (ARN) -> Solna municipality || Stockholm Arlanda Airport (ARN) -> Solna municipality"
"Soma Bay","2","Egypt","Soma Bay","to","Hurghada Airport (HRG) -> Soma Bay || Hurghada Airport (HRG) -> Soma Bay"
"Son","1","Norway","Son","to","Oslo Gardermoen Airport (OSL) -> Son"
"Songkhla Province","2","Thailand","Songkhla Province","to","Phuket International Airport (HKT) -> Songkhla Province || Phuket International Airport (HKT) -> Songkhla Province"
"Sorgun","3","Turkey","Sorgun","to","Antalya Airport (AYT) -> Sorgun || Antalya Airport (AYT) -> Sorgun || Antalya Airport (AYT) -> Sorgun"
"Sotira","1","Cyprus","Sotira","to","Larnaca Airport (LCA) -> Sotira"
"Southhampton","4","United Kingdom","Southhampton","to","London Heathrow Airport (LHR) -> Southhampton || London Heathrow Airport (LHR) -> Southhampton || London Heathrow Airport (LHR) -> Southhampton"
"Stavanger","1","Norway","Stavanger","to","Oslo Gardermoen Airport (OSL) -> Stavanger"
"Stavropol'","6","Russia","Stavropol'","to","Stavropol' Shpakovskoye Airport (STW) -> Stavropol' || Stavropol' Shpakovskoye Airport (STW) -> Stavropol' || Stavropol' Shpakovskoye Airport (STW) -> Stavropol'"
"Stavropol' Shpakovskoye Airport (STW)","6","Russia","Stavropol'","from","Stavropol' Shpakovskoye Airport (STW) -> Stavropol' || Stavropol' Shpakovskoye Airport (STW) -> Stavropol' || Stavropol' Shpakovskoye Airport (STW) -> Stavropol'"
"Stockholm Arlanda Airport (ARN)","86","Sweden","Bromma district, Stockholm|Danderyd municipality|Ekerö municipality|Enköping town|Farsta district, Stockholm|Grisslehamn|Gustavsberg town|Gävle town|Gåshaga|Hammarby Sjöstad district, Stockholm|Haninge municipality|Hässelby district, Stockholm|Jakobsberg|Johanneshov district, Stockholm|Kapellskär port|Kista district, Stockholm|Köping locality|Lidingö|Märsta suburban area, Stockholm|Nacka suburban area, Stockholm|Nacka, Sweden|Norrtälje town|Nyköping town|Port of Stockholm (Nynäshamn)|Saltsjöbaden locality|Sigtuna town|Skarpnäck district, Stockholm|Skogås locality|Sollentuna municipality|Solna municipality|Stockholm Arlanda Airport (ARN)|Stockholm city center|Sundbyberg town|Södertälje city|Tyresö municipality / Tyreso|Täby|Uppsala city|Vaxolm locality|Värmdö municipality / Varmdo|Västerås city|Älvsjö district (Alvsjo), Stockholm|Åkersberga locality|Årsta district, Stockholm","from|to","Stockholm Arlanda Airport (ARN) -> Bromma district, Stockholm || Stockholm Arlanda Airport (ARN) -> Bromma district, Stockholm || Stockholm Arlanda Airport (ARN) -> Danderyd municipality"
"Stockholm Bromma Airport (BMA)","2","Sweden","Stockholm city center","from","Stockholm Bromma Airport (BMA) -> Stockholm city center || Stockholm Bromma Airport (BMA) -> Stockholm city center"
"Stockholm city center","15","Norway|Sweden","Stockholm city center","to","Oslo Gardermoen Airport (OSL) -> Stockholm city center || Port of Stockholm (Frihamnen) -> Stockholm city center || Port of Stockholm (Frihamnen) -> Stockholm city center"
"Stockholm Skavsta Airport (NYO)","2","Sweden","Stockholm city center","from","Stockholm Skavsta Airport (NYO) -> Stockholm city center || Stockholm Skavsta Airport (NYO) -> Stockholm city center"
"Strømmen","1","Norway","Strømmen","to","Oslo Gardermoen Airport (OSL) -> Strømmen"
"Suez city centre","2","Egypt","Suez city centre","to","Cairo International Airport (CAI) -> Suez city centre || Cairo International Airport (CAI) -> Suez city centre"
"Sukhothai disctrict","2","Thailand","Sukhothai disctrict","to","Chiang Mai International Airport (CNX) -> Sukhothai disctrict || Chiang Mai International Airport (CNX) -> Sukhothai disctrict"
"Sukhumvit Road, Bangkok","4","Thailand","Sukhumvit Road, Bangkok","to","Bangkok Don Muang Airport (DMK) -> Sukhumvit Road, Bangkok || Bangkok Don Muang Airport (DMK) -> Sukhumvit Road, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Sukhumvit Road, Bangkok"
"Sundbyberg town","2","Sweden","Sundbyberg town","to","Stockholm Arlanda Airport (ARN) -> Sundbyberg town || Stockholm Arlanda Airport (ARN) -> Sundbyberg town"
"Sundsvall","1","Sweden","Sundsvall","to","Sundsvall Airport (SDL) -> Sundsvall"
"Sundsvall Airport (SDL)","1","Sweden","Sundsvall","from","Sundsvall Airport (SDL) -> Sundsvall"
"Sunland+Tujunga","14","United States of America","Sunland+Tujunga","to","John Wayne Airport (SNA) -> Sunland+Tujunga || John Wayne Airport (SNA) -> Sunland+Tujunga || John Wayne Airport (SNA) -> Sunland+Tujunga"
"Surat Thani Airport (URT)","48","Thailand","Ao Luek District, Krabi|Ao Nang, Krabi|Chalong, Mueang, Phuket|Choeng Thale|Don Sak Pier, Surat Thani|Kamala beach, Phuket|Kao Lanta Pier Thailand|Karon Beach, Phuket|Kata Village and Beach, Phuket|Khao Lak, Phang Nga|Khao Sok National Park, Surat Thani|Ko Kaeo, Muaeng, Phuket|Mai Khao, Maikhao Phuket|Pa Khlok, Phuket|PaTong, Phuket|Phuket International Airport (HKT)|Phuket Island to delete|Phuket town|Ratsada, Mueang, Phuket|Rawai, Mueang, Phuket|Sakhu, Phuket|Surat Thani Airport (URT)|Surat Thani district|Wichit, Mueang, Phuket","from|to","Surat Thani Airport (URT) -> Ao Luek District, Krabi || Surat Thani Airport (URT) -> Ao Luek District, Krabi || Surat Thani Airport (URT) -> Ao Nang, Krabi"
"Surat Thani district","8","Thailand","Surat Thani district","to","Krabi International Airport (KBV) -> Surat Thani district || Krabi International Airport (KBV) -> Surat Thani district || Phuket International Airport (HKT) -> Surat Thani district"
"Surat Thani Town","4","Thailand","Surat Thani Town","to","Phuket International Airport (HKT) -> Surat Thani Town || Phuket International Airport (HKT) -> Surat Thani Town || Phuket International Airport (HKT) -> Surat Thani Town"
"Surgut","7","Russia","Surgut","to","Surgut International Airport (SGC) -> Surgut || Surgut International Airport (SGC) -> Surgut || Surgut International Airport (SGC) -> Surgut"
"Surgut International Airport (SGC)","7","Russia","Surgut","from","Surgut International Airport (SGC) -> Surgut || Surgut International Airport (SGC) -> Surgut || Surgut International Airport (SGC) -> Surgut"
"Suwon","10","South Korea","Suwon","to","Seoul Gimpo Airport (GMP) -> Suwon || Seoul Gimpo Airport (GMP) -> Suwon || Seoul Gimpo Airport (GMP) -> Suwon"
"Svetlogorsk","6","Russia","Svetlogorsk","to","Kaliningrad Khrabrovo Airport (KGD) -> Svetlogorsk || Kaliningrad Khrabrovo Airport (KGD) -> Svetlogorsk || Kaliningrad Khrabrovo Airport (KGD) -> Svetlogorsk"
"Syvasenvaar","2","Finland","Syvasenvaar","to","Rovaniemi Airport (RVN) -> Syvasenvaar || Rovaniemi Airport (RVN) -> Syvasenvaar"
"Taba","2","Egypt","Taba","to","Sharm el-Sheikh International Airport (SSH) -> Taba || Sharm el-Sheikh International Airport (SSH) -> Taba"
"Täby","2","Sweden","Täby","to","Stockholm Arlanda Airport (ARN) -> Täby || Stockholm Arlanda Airport (ARN) -> Täby"
"Taganrog","1","Russia","Taganrog","to","Rostov-on-Don Platov Airport (ROV) -> Taganrog"
"Tai Po","4","China","Tai Po","to","Hong Kong Airport (HKG) -> Tai Po || Hong Kong Airport (HKG) -> Tai Po || Hong Kong Airport (HKG) -> Tai Po"
"Taichung Airport (RMQ)","6","Taiwan","Nantou City|Taichung City","from","Taichung Airport (RMQ) -> Nantou City || Taichung Airport (RMQ) -> Nantou City || Taichung Airport (RMQ) -> Nantou City"
"Taichung City","3","Taiwan","Taichung City","to","Taichung Airport (RMQ) -> Taichung City || Taichung Airport (RMQ) -> Taichung City || Taichung Airport (RMQ) -> Taichung City"
"Taipei","6","Taiwan","Taipei","to","Taipei Songshan Airport (TSA) -> Taipei || Taipei Songshan Airport (TSA) -> Taipei || Taipei Songshan Airport (TSA) -> Taipei"
"Taipei Songshan Airport (TSA)","12","Taiwan","Keelung City|New Taipei|Taipei|Taoyuan City","from","Taipei Songshan Airport (TSA) -> Keelung City || Taipei Songshan Airport (TSA) -> Keelung City || Taipei Songshan Airport (TSA) -> Keelung City"
"Taipei Taiwan Taoyuan Airport (TPE)","12","Taiwan","Keelung City|New Taipei|Taipei|Taoyuan City","from","Taipei Taiwan Taoyuan Airport (TPE) -> Keelung City || Taipei Taiwan Taoyuan Airport (TPE) -> Keelung City || Taipei Taiwan Taoyuan Airport (TPE) -> Keelung City"
"Tala","2","Cyprus","Tala","to","Larnaca Airport (LCA) -> Tala || Paphos Airport (PFO) -> Tala"
"Taling Ngam Thailand","5","Thailand","Taling Ngam Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Taling Ngam Thailand || Samui International Airport (USM) -> Taling Ngam Thailand || Samui International Airport (USM) -> Taling Ngam Thailand"
"Tallinn","4","Estonia","Tallinn","to","Tallinn airport (TLL) -> Tallinn || Tallinn airport (TLL) -> Tallinn || Tallinn airport (TLL) -> Tallinn"
"Tallinn airport (TLL)","4","Estonia","Tallinn","from","Tallinn airport (TLL) -> Tallinn || Tallinn airport (TLL) -> Tallinn || Tallinn airport (TLL) -> Tallinn"
"Tameslouht","7","Morocco","Tameslouht","to","Marrakesh Menara Airport (RAK) -> Tameslouht || Marrakesh Menara Airport (RAK) -> Tameslouht || Marrakesh Menara Airport (RAK) -> Tameslouht"
"Tampere","3","Finland","Tampere","to","Helsinki Vantaa airport (HEL) -> Tampere || Helsinki Vantaa airport (HEL) -> Tampere || Helsinki Vantaa airport (HEL) -> Tampere"
"Tankhoi","2","Russia","Tankhoi","to","International Airport Irkutsk (IKT) -> Tankhoi || International Airport Irkutsk (IKT) -> Tankhoi"
"Taoyuan City","6","Taiwan","Taoyuan City","to","Taipei Songshan Airport (TSA) -> Taoyuan City || Taipei Songshan Airport (TSA) -> Taoyuan City || Taipei Songshan Airport (TSA) -> Taoyuan City"
"Tarabya, Sariyer, Zekeriyakoy","8","Turkey","Istanbul","to|from","Istanbul Airport (IST) -> Tarabya, Sariyer, Zekeriyakoy || Istanbul Airport (IST) -> Tarabya, Sariyer, Zekeriyakoy || Istanbul Sabiha Gokcen Airport (SAW) -> Tarabya, Sariyer, Zekeriyakoy"
"Tarvantie","2","Finland","Tarvantie","to","Rovaniemi Airport (RVN) -> Tarvantie || Rovaniemi Airport (RVN) -> Tarvantie"
"Tashkent","2","Uzbekistan","Tashkent","to","Tashkent International Airport (TAS) -> Tashkent || Tashkent International Airport (TAS) -> Tashkent"
"Tashkent International Airport (TAS)","2","Uzbekistan","Tashkent","from","Tashkent International Airport (TAS) -> Tashkent || Tashkent International Airport (TAS) -> Tashkent"
"Tasoultante","7","Morocco","Tasoultante","to","Marrakesh Menara Airport (RAK) -> Tasoultante || Marrakesh Menara Airport (RAK) -> Tasoultante || Marrakesh Menara Airport (RAK) -> Tasoultante"
"Tbilisi","8","Georgia","Tbilisi|Tbilisi Shota Rustaveli Airport (TBS)","to|from","Tbilisi Shota Rustaveli Airport (TBS) -> Tbilisi || Tbilisi Shota Rustaveli Airport (TBS) -> Tbilisi || Tbilisi Shota Rustaveli Airport (TBS) -> Tbilisi"
"Tbilisi Shota Rustaveli Airport (TBS)","9","Georgia","Signagi|Tbilisi|Tbilisi Shota Rustaveli Airport (TBS)","from|to","Tbilisi Shota Rustaveli Airport (TBS) -> Signagi || Tbilisi Shota Rustaveli Airport (TBS) -> Tbilisi || Tbilisi Shota Rustaveli Airport (TBS) -> Tbilisi"
"Tekirova","4","Turkey","Tekirova","to","Antalya Airport (AYT) -> Tekirova || Antalya Airport (AYT) -> Tekirova || Antalya Airport (AYT) -> Tekirova"
"Tenerife North Airport (TFN)","3","Spain","Costa Adeje","from","Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje"
"Tenerife South Airport (TFS)","3","Spain","Costa Adeje","from","Tenerife South Airport (TFS) -> Costa Adeje || Tenerife South Airport (TFS) -> Costa Adeje || Tenerife South Airport (TFS) -> Costa Adeje"
"Tersefanou","1","Cyprus","Tersefanou","to","Larnaca Airport (LCA) -> Tersefanou"
"Thai Mueang, Phang Nga","2","Thailand","Thai Mueang, Phang Nga","to","Phuket International Airport (HKT) -> Thai Mueang, Phang Nga || Phuket International Airport (HKT) -> Thai Mueang, Phang Nga"
"Thap Lamu Pier, Phang Nga","2","Thailand","Thap Lamu Pier, Phang Nga","to","Phuket International Airport (HKT) -> Thap Lamu Pier, Phang Nga || Phuket International Airport (HKT) -> Thap Lamu Pier, Phang Nga"
"Thap Put, Phang Nga","2","Thailand","Thap Put, Phang Nga","to","Phuket International Airport (HKT) -> Thap Put, Phang Nga || Phuket International Airport (HKT) -> Thap Put, Phang Nga"
"Thep Krasatti, Phuket","2","Thailand","Thep Krasatti, Phuket","to","Phuket International Airport (HKT) -> Thep Krasatti, Phuket || Phuket International Airport (HKT) -> Thep Krasatti, Phuket"
"Thousand Oaks+Simi Valley","14","United States of America","Thousand Oaks+Simi Valley","to","John Wayne Airport (SNA) -> Thousand Oaks+Simi Valley || John Wayne Airport (SNA) -> Thousand Oaks+Simi Valley || John Wayne Airport (SNA) -> Thousand Oaks+Simi Valley"
"Titreyengol lake","3","Turkey","Titreyengol lake","to","Antalya Airport (AYT) -> Titreyengol lake || Antalya Airport (AYT) -> Titreyengol lake || Antalya Airport (AYT) -> Titreyengol lake"
"Tofino","3","Canada","Tofino","to","Vancouver Airport (YVR) -> Tofino || Vancouver Airport (YVR) -> Tofino || Vancouver Airport (YVR) -> Tofino"
"Tokyo (within 23 wards)","32","Japan","Disney Area, Tokyo|Gunma district|Kamakura|Karuizawa|Mount Fuji, Hakone|Tokyo (within 23 wards)|Tokyo Haneda Airport (HND)|Tokyo Narita Airport (NRT)|Yokohama port","from|to","Tokyo (within 23 wards) -> Disney Area, Tokyo || Tokyo (within 23 wards) -> Disney Area, Tokyo || Tokyo (within 23 wards) -> Disney Area, Tokyo"
