"name","count","countries","cities","roles","samples"
"Bangkok Suvarnabhumi Airport (BKK)","121","Thailand","Ayutthaya Provice|Bang Saen, Chon Buri|Bangkok|Bangkok Don Muang Airport (DMK)|Bangkok Outskirts|Bangkok SUVarnabhumi Airport (BKK)|Bangrak Beach|Cha Am Beach, Phetchaburi|Don Muang district|Erawan National Park (Kanchanaburi)|Hua Hin, PrachuapKhiriKhan|Kanchanaburi|Khao Lak, Phang Nga|Khao Yai National Park|Khaosan, Bangkok|Khlong Thoei, bangkok|Koh Chang|Korat City (Nakhon Ratchasima)|Laem Chabang Port, Sukhumvit Road, Thung Sukhla|Pak Chong, NakhonRatchasima|Pattaya|Pattaya Jomtein beach, Pattaya|Pattaya–Rayong U-Tapao Airport (UTP)|Phetchaburi|Phitsanulok|Phra Nakhon, Bangkok|PranBuri, PrachuapKhiriKhan|Pratunam, Bangkok|Ratchaburi|Rayong City|Saiyoke|Sangklaburi District Provincial|Sathorn district, Bangkok|Sattahip District|Silom, Bangkok|Sukhumvit Road, Bangkok|Trat province","from|to","Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice"
"Bangrak Beach","7","Thailand","Bangrak Beach","to","Bangkok Suvarnabhumi Airport (BKK) -> Bangrak Beach || Bangkok Suvarnabhumi Airport (BKK) -> Bangrak Beach || Koh Samui - Mae Nam Port (Surat Thani ) -> Bangrak Beach"
"Bangrak Pier","4","Thailand","Bangrak Pier","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Bangrak Pier || Koh Samui - Mae Nam Port (Surat Thani ) -> Bangrak Pier || Samui International Airport (USM) -> Bangrak Pier"
"Barcelona","4","Spain","Barcelona","to","Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona"
"Barcelona El Prat Airport (BCN)","15","Spain","Barcelona|Barcelona El Prat Airport (BCN)|Blanes|Calella|Port of Barcelona","from|to","Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona || Barcelona El Prat Airport (BCN) -> Barcelona"
"Barnaul","1","Russia","Barnaul","to","Barnaul Airport (BAX) -> Barnaul"
"Barnaul Airport (BAX)","1","Russia","Barnaul","from","Barnaul Airport (BAX) -> Barnaul"
"Basel","5","France","Basel","to","EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel || EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel || EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel"
"Bataysk","1","Russia","Bataysk","to","Rostov-on-Don Platov Airport (ROV) -> Bataysk"
"Batumi","6","Georgia","Batumi","to","Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi"
"Begishevo Airport (NBC)","2","Russia","Naberezhnye Chelny","from","Begishevo Airport (NBC) -> Naberezhnye Chelny || Begishevo Airport (NBC) -> Naberezhnye Chelny"
"Beijing Capital International Airport (PEK)","6","China","Beijing city center","from","Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center"
"Beijing city center","9","China","Beijing city center","to","Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center || Beijing Capital International Airport (PEK) -> Beijing city center"
"Beijing Daxing International Airport (PKX)","3","China","Beijing city center","from","Beijing Daxing International Airport (PKX) -> Beijing city center || Beijing Daxing International Airport (PKX) -> Beijing city center || Beijing Daxing International Airport (PKX) -> Beijing city center"
"Beitostølen (Beitostolen)","1","Norway","Beitostølen (Beitostolen)","to","Oslo Gardermoen Airport (OSL) -> Beitostølen (Beitostolen)"
"Beldibi town, Kemer","4","Turkey","Beldibi town, Kemer","to","Antalya Airport (AYT) -> Beldibi town, Kemer || Antalya Airport (AYT) -> Beldibi town, Kemer || Antalya Airport (AYT) -> Beldibi town, Kemer"
"Belek","4","Turkey","Belek","to","Antalya Airport (AYT) -> Belek || Antalya Airport (AYT) -> Belek || Antalya Airport (AYT) -> Belek"
"Belgorod","3","Russia","Belgorod","to","Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod"
"Belgorod Airport (EGO)","3","Russia","Belgorod","from","Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod"
