Country,From,To,Type,Pax,Price,Currency,CAT,Transferz,Dottransfers,Talixo,Suntransfers,Alexandra
Denmark,Copenhagen Kastrup Airport (CPH),Gøteborg / Göteborg / Gothenburg,Business class car,3,"€1 105,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Gøteborg / Göteborg / Gothenburg,Standard class car,3,"€884,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Gøteborg / Göteborg / Gothenburg,Standard minivan 6 pax,6,"€1 290,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Malmö / Malmo,Business class car,3,"€205,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Malmö / Malmo,Standard class car,3,"€190,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Malmö / Malmo,Standard minivan 6 pax,6,"€240,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Malmö Sturup Airport (MMX),Business class car,3,"€205,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Malmö Sturup Airport (MMX),Standard class car,3,"€190,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Malmö Sturup Airport (MMX),Standard class car,3,"€190,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Malmö Sturup Airport (MMX),Standard minivan 6 pax,6,"€240,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Roskilde,Business class car,3,"€210,00",EUR,,,,,,
Denmark,Copenhagen Kastrup Airport (CPH),Roskilde,Standard class car,3,"€148,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),6 of October,Standard class car,3,"€36,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),6 of October,Standard minivan 7 pax,7,"€54,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Cairo city centre,Standard class car,3,"€26,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Cairo city centre,Standard minivan 7 pax,7,"€31,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),El Alamein,Standard class car,3,"€158,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),El Alamein,Standard minivan 7 pax,7,"€227,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Giza,Standard class car,3,"€27,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Giza,Standard minivan 7 pax,7,"€30,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Heliopolis,Standard class car,3,"€21,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Heliopolis,Standard minivan 7 pax,7,"€30,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Hurghada,Standard class car,3,"€178,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Marsa Matrouh,Standard class car,3,"€221,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Marsa Matrouh,Standard minivan 7 pax,7,"€270,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Ras Suder,Standard class car,3,"€92,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Ras Suder,Standard minivan 7 pax,7,"€108,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Sharm El Sheikh,Standard class car,3,"€243,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Sharm El Sheikh,Standard minivan 7 pax,7,"€329,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Suez city centre,Standard class car,3,"€80,00",EUR,,,,,,
Egypt,Cairo International Airport (CAI),Suez city centre,Standard minivan 7 pax,7,"€111,00",EUR,,,,,,
Egypt,Hurghada Airport (HRG),El Gouna,Standard class car,3,"€17,00",EUR,,,,,,
Egypt,Hurghada Airport (HRG),El Gouna,Standard minivan 7 pax,7,"€20,00",EUR,,,,,,
