"name","count","countries","cities","roles","samples","etoStatus","category"
"Alicante Elche Airport (ALC)","5","Spain","Alicante","from","Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante","missing","airport"
"Bergamo Orio al Serio Airport (BGY)","5","Italy","Milan","from","Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan","missing","airport"
"Chelyabinsk Airport (CEK)","5","Russia","Chelyabinsk","from","Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk || Chelyabinsk Airport (CEK) -> Chelyabinsk","missing","airport"
"Dallas Addison Airport (ADS)","5","United States of America","Dallas","from","Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas","missing","airport"
"Dallas Executive Airport (RBD)","5","United States of America","Dallas","from","Dallas Executive Airport (RBD) -> Dallas || Dallas Executive Airport (RBD) -> Dallas || Dallas Executive Airport (RBD) -> Dallas","missing","airport"
"Dallas Fort Worth Airport (DFW)","5","United States of America","Dallas","from","Dallas Fort Worth Airport (DFW) -> Dallas || Dallas Fort Worth Airport (DFW) -> Dallas || Dallas Fort Worth Airport (DFW) -> Dallas","missing","airport"
"Dallas Love Field (DAL)","5","United States of America","Dallas","from","Dallas Love Field (DAL) -> Dallas || Dallas Love Field (DAL) -> Dallas || Dallas Love Field (DAL) -> Dallas","missing","airport"
"Düsseldorf Airport (DUS)","5","Germany","Düsseldorf","from","Düsseldorf Airport (DUS) -> Düsseldorf || Düsseldorf Airport (DUS) -> Düsseldorf || Düsseldorf Airport (DUS) -> Düsseldorf","missing","airport"
"Guangzhou Baiyun International Airport (CAN)","5","China","GuangZhou city center","from","Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center || Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center || Guangzhou Baiyun International Airport (CAN) -> GuangZhou city center","missing","airport"
"Harry Mwanga Nkumbula International Airport (LVI)","5","Zambia","Harry Mwanga Nkumbula International Airport (LVI)|Livingstone","from|to","Harry Mwanga Nkumbula International Airport (LVI) -> Harry Mwanga Nkumbula International Airport (LVI) || Harry Mwanga Nkumbula International Airport (LVI) -> Harry Mwanga Nkumbula International Airport (LVI) || Harry Mwanga Nkumbula International Airport (LVI) -> Harry Mwanga Nkumbula International Airport (LVI)","missing","airport"
