"rowId","country","routeFrom","routeTo","vehicleType","pax","price","currency","source","notes"
"cmm3d3nz40049k8ppvfl8031o","Cyprus","Larnaca Airport (LCA)","Troodos","Standard class car","3","192","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004nk8ppn59f4zxk","Cyprus","Larnaca Airport (LCA)","Tsada","Standard class car","3","192","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40042k8ppefemhoxo","Cyprus","Larnaca Airport (LCA)","Tseri","Standard class car","3","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40046k8pp66cbu5l9","Cyprus","Larnaca Airport (LCA)","Vavatsinia","Standard class car","3","90","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40044k8ppb9dpnaee","Cyprus","Larnaca Airport (LCA)","Vyzakia","Standard class car","3","132","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002uk8pp71cm1qa1","Cyprus","Larnaca Airport (LCA)","Xylofagou","Standard class car","3","78","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40038k8pp577i07v9","Cyprus","Larnaca Airport (LCA)","Zakaki","Standard class car","3","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40030k8pp0iq5u80s","Cyprus","Larnaca Airport (LCA)","Zigi","Standard class car","3","78","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003vk8ppwc3hqyk7","Cyprus","Larnaca Airport (LCA)","Zoopigi","Standard class car","3","180","EUR","base_price_xlsx","pax:3"
"cmm3d3nz50053k8pp5q90m24v","Cyprus","Paphos Airport (PFO)","Ayia Napa","Standard class car","3","228","EUR","base_price_xlsx","pax:3"
