"name","count","countries","cities","roles","samples","etoStatus"
"Baku Heydar Aliyev International Airport (GYD)","16","Azerbaijan","Baku|Naftalan|Shahdag (Quba, Qusar)|Tufandag (Gabala)","from","Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku","present_exact"
"Baltiysk","6","Russia","Baltiysk","to","Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk","present_exact"
"Ban Phe Port","2","Thailand","Bangkok","from","Ban Phe Port -> Bangkok || Ban Phe Port -> Bangkok","present_exact"
"Bang Por","6","Thailand","Bang Por","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Bang Por || Koh Samui - Mae Nam Port (Surat Thani ) -> Bang Por || Phuket International Airport (HKT) -> Bang Por","present_exact"
"Bang Saen, Chon Buri","2","Thailand","Bang Saen, Chon Buri","to","Bangkok Suvarnabhumi Airport (BKK) -> Bang Saen, Chon Buri || Bangkok Suvarnabhumi Airport (BKK) -> Bang Saen, Chon Buri","present_exact"
"Bangkok","15","Thailand","Bangkok","to","Ban Phe Port -> Bangkok || Ban Phe Port -> Bangkok || Bangkok Don Muang Airport (DMK) -> Bangkok","present_exact"
"Bangkok Don Muang Airport (DMK)","42","Thailand","Bangkok|Bangkok Don Muang Airport (DMK)|Bangkok Outskirts|Bangkok SUVarnabhumi Airport (BKK)|Erawan National Park (Kanchanaburi)|Hua Hin, PrachuapKhiriKhan|Kanchanaburi|Khao Yai National Park|Korat City (Nakhon Ratchasima)|Pattaya|Pattaya Jomtein beach, Pattaya|Phra Nakhon, Bangkok|Sangklaburi District Provincial|Sathorn district, Bangkok|Silom, Bangkok|Sukhumvit Road, Bangkok","from|to","Bangkok Don Muang Airport (DMK) -> Bangkok || Bangkok Don Muang Airport (DMK) -> Bangkok || Bangkok Don Muang Airport (DMK) -> Bangkok","present_exact"
"Bangkok Hua lumpong Railway Station (Bangkok)","2","Thailand","Bangkok","from","Bangkok Hua lumpong Railway Station (Bangkok) -> Bangkok || Bangkok Hua lumpong Railway Station (Bangkok) -> Bangkok","present_exact"
"Bangkok Outskirts","9","Thailand","Bangkok Outskirts","to","Bangkok Don Muang Airport (DMK) -> Bangkok Outskirts || Bangkok Don Muang Airport (DMK) -> Bangkok Outskirts || Bangkok Don Muang Airport (DMK) -> Bangkok Outskirts","present_exact"
"Bangkok Suvarnabhumi Airport (BKK)","121","Thailand","Ayutthaya Provice|Bang Saen, Chon Buri|Bangkok|Bangkok Don Muang Airport (DMK)|Bangkok Outskirts|Bangkok SUVarnabhumi Airport (BKK)|Bangrak Beach|Cha Am Beach, Phetchaburi|Don Muang district|Erawan National Park (Kanchanaburi)|Hua Hin, PrachuapKhiriKhan|Kanchanaburi|Khao Lak, Phang Nga|Khao Yai National Park|Khaosan, Bangkok|Khlong Thoei, bangkok|Koh Chang|Korat City (Nakhon Ratchasima)|Laem Chabang Port, Sukhumvit Road, Thung Sukhla|Pak Chong, NakhonRatchasima|Pattaya|Pattaya Jomtein beach, Pattaya|Pattaya–Rayong U-Tapao Airport (UTP)|Phetchaburi|Phitsanulok|Phra Nakhon, Bangkok|PranBuri, PrachuapKhiriKhan|Pratunam, Bangkok|Ratchaburi|Rayong City|Saiyoke|Sangklaburi District Provincial|Sathorn district, Bangkok|Sattahip District|Silom, Bangkok|Sukhumvit Road, Bangkok|Trat province","from|to","Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice","present_exact"
