"id","country","city","routeFrom","routeTo","vehicleType","fixedPrice","currency","source","notes"
"cmm3d3nz4003mk8pp3fgno0ko","Cyprus","Fasoula","Larnaca Airport (LCA)","Fasoula","Standard class car","132","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003pk8pp5bi0xo98","Cyprus","Finikaria","Larnaca Airport (LCA)","Finikaria","Standard class car","120","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003ok8pp8pidpxc6","Cyprus","Gerasa","Larnaca Airport (LCA)","Gerasa","Standard class car","150","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004xk8ppq9gy9kd2","Cyprus","Gioliu","Paphos Airport (PFO)","Gioliu","Standard class car","72","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40037k8ppxrweel9x","Cyprus","Ipsonas","Larnaca Airport (LCA)","Ipsonas","Standard class car","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004ak8ppbm2e1g7r","Cyprus","Kakopetria","Larnaca Airport (LCA)","Kakopetria","Standard class car","186","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003hk8pps7tagg42","Cyprus","Kalo Chorio Limassol","Larnaca Airport (LCA)","Kalo Chorio Limassol","Standard class car","162","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40048k8pp500npp1b","Cyprus","Kalopanagiotis","Larnaca Airport (LCA)","Kalopanagiotis","Standard class car","192","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004wk8pp3lo1yrus","Cyprus","Katikas","Paphos Airport (PFO)","Katikas","Standard class car","72","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003rk8pp6266fily","Cyprus","Kelaki","Larnaca Airport (LCA)","Kelaki","Standard class car","132","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004uk8ppfu7rlesr","Cyprus","Kouklia","Paphos Airport (PFO)","Kouklia","Standard class car","48","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004dk8ppylojpsm5","Cyprus","Kykkos","Larnaca Airport (LCA)","Kykkos","Standard class car","228","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40047k8ppwsjt3p3s","Cyprus","Kyperounta","Larnaca Airport (LCA)","Kyperounta","Standard class car","180","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002rk8pprcx6enxc","Cyprus","Larnaca","Larnaca Airport (LCA)","Larnaca","Standard class car","33","EUR","base_price_xlsx","pax:3"
"cmm3d3nz50052k8ppxbrbxy9x","Cyprus","Larnaca","Paphos Airport (PFO)","Larnaca","Standard class car","168","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40045k8ppdrp0rfp0","Cyprus","Leykara","Larnaca Airport (LCA)","Leykara","Standard class car","90","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40034k8pp6a4xlh88","Cyprus","Limassol","Larnaca Airport (LCA)","Limassol","Standard class car","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz50050k8ppq73dkmcw","Cyprus","Limassol","Paphos Airport (PFO)","Limassol","Standard class car","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002vk8ppqkuh8zqy","Cyprus","Liopetri","Larnaca Airport (LCA)","Liopetri","Standard class car","84","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003wk8ppjc0ug7r9","Cyprus","Managri","Larnaca Airport (LCA)","Managri","Standard class car","156","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002yk8ppy55xev7r","Cyprus","Mazotos","Larnaca Airport (LCA)","Mazotos","Standard class car","48","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40040k8ppewah5go1","Cyprus","Nicosia","Larnaca Airport (LCA)","Nicosia","Standard class car","84","EUR","base_price_xlsx","pax:3"
"cmm3d3nz50051k8pphi0kerte","Cyprus","Nicosia","Paphos Airport (PFO)","Nicosia","Standard class car","216","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003uk8ppadtg5iyj","Cyprus","Odou","Larnaca Airport (LCA)","Odou","Standard class car","120","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004ck8pp4tobeklx","Cyprus","Olympus","Larnaca Airport (LCA)","Olympus","Standard class car","198","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004ek8ppt11vdmbs","Cyprus","Omodos","Larnaca Airport (LCA)","Omodos","Standard class car","216","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40039k8pptaexx33w","Cyprus","Omonia","Larnaca Airport (LCA)","Omonia","Standard class car","108","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4002sk8ppx3ioerbk","Cyprus","Orchid","Larnaca Airport (LCA)","Orchid","Standard class car","72","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003lk8ppsfprfed5","Cyprus","Palodia","Larnaca Airport (LCA)","Palodia","Standard class car","132","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004vk8pp7jjwhsye","Cyprus","Pano Ardes","Paphos Airport (PFO)","Pano Ardes","Standard class car","78","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4004fk8ppdin1zh6p","Cyprus","Paphos","Larnaca Airport (LCA)","Paphos","Standard class car","180","EUR","base_price_xlsx","pax:3"
"cmm3d3nz5004ok8ppbj7ixzr8","Cyprus","Paphos","Paphos Airport (PFO)","Paphos","Standard class car","42","EUR","base_price_xlsx","pax:3"
"cmm3d3nz40032k8ppdnknnu1d","Cyprus","Paralimni","Larnaca Airport (LCA)","Paralimni","Standard class car","96","EUR","base_price_xlsx","pax:3"
"cmm3d3nz50054k8pp0eo3m3m0","Cyprus","Paralimni","Paphos Airport (PFO)","Paralimni","Standard class car","264","EUR","base_price_xlsx","pax:3"
"cmm3d3nz4003ik8pptsspohnm","Cyprus","Paramali","Larnaca Airport (LCA)","Paramali","Standard class car","144","EUR","base_price_xlsx","pax:3"
